age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
57,4,257200,6,5,2,3,0,4,1,0,0,40,39,1
44,4,34722,15,10,2,12,0,4,1,0,0,55,39,0
36,4,195148,9,13,4,4,3,4,1,0,0,40,39,0
27,4,538193,1,7,4,10,1,1,0,0,0,50,39,0
32,4,136921,11,9,2,12,0,4,1,0,0,40,39,0
26,4,35917,15,10,4,14,1,4,1,0,0,50,39,0
55,4,202559,9,13,2,8,2,1,1,0,0,35,30,0
39,6,218490,14,15,2,10,0,4,1,0,2415,50,0,1
32,4,299635,8,11,2,3,0,4,1,0,0,45,39,0
38,6,331374,1,7,2,8,0,4,1,0,0,60,39,0
46,4,213611,5,4,3,9,4,4,0,0,1594,24,13,0
20,4,161708,15,10,4,12,3,4,0,0,0,35,39,0
22,4,211968,9,13,4,1,3,4,0,0,0,40,39,0
29,4,127892,9,13,2,12,0,4,1,0,0,45,39,0
31,4,31600,9,13,4,10,1,4,0,0,0,40,39,0
38,4,196554,14,15,5,10,1,4,1,0,0,35,39,1
27,4,204497,0,6,0,14,1,0,1,0,0,75,39,0
23,4,277328,15,10,4,6,3,4,1,0,0,32,5,0
29,5,136277,11,9,4,4,1,2,0,0,0,16,39,0
22,4,284317,7,12,4,1,1,4,0,0,0,40,39,0
22,2,111697,9,13,4,1,3,4,0,0,0,30,39,0
33,6,118267,7,12,0,12,1,4,1,0,0,60,39,0
44,6,35166,15,10,2,5,0,4,1,0,0,75,39,0
31,4,153078,7,12,4,3,3,3,1,0,0,50,39,0
30,4,79448,15,10,0,1,4,4,0,0,0,10,39,0
49,5,318280,9,13,2,12,0,4,1,0,0,55,39,1
42,4,29702,0,6,2,7,0,4,1,0,0,40,39,0
77,2,177550,9,13,2,1,0,4,1,3818,0,14,39,0
52,4,400004,8,11,2,4,0,4,1,0,0,40,39,1
19,4,325217,11,9,4,8,3,4,1,0,0,32,39,0
40,4,83827,15,10,0,3,4,4,0,0,0,40,9,0
50,4,155433,9,13,0,4,1,4,0,0,0,50,39,0
27,4,189777,11,9,2,3,0,4,1,0,0,40,39,0
30,1,243233,15,10,2,2,0,4,1,0,0,48,39,1
40,4,76625,11,9,0,3,4,4,1,0,0,40,39,0
30,4,281030,8,11,2,12,0,4,1,4064,0,40,39,0
30,0,197827,15,10,2,0,0,4,1,0,0,40,39,0
20,4,230824,11,9,4,6,3,4,1,0,0,25,39,0
50,4,338836,9,13,2,10,0,4,1,0,1887,36,39,1
28,0,161290,15,10,4,0,3,2,0,0,0,40,39,0
34,2,182926,11,9,2,11,0,4,1,0,0,40,39,0
44,7,180609,11,9,2,11,0,4,1,0,0,40,39,0
32,5,275094,9,13,2,12,0,4,1,7688,0,55,26,1
40,4,71305,11,9,2,8,0,2,1,0,0,40,39,0
29,4,217424,12,14,4,4,1,4,0,0,0,50,39,1
21,0,207782,15,10,4,0,3,4,1,0,0,30,39,0
18,4,58949,2,8,4,8,3,4,0,0,0,20,39,0
37,4,140673,15,10,2,12,5,4,0,0,0,40,39,1
24,4,191948,11,9,0,12,4,4,0,0,0,30,39,0
50,4,238959,15,10,2,1,0,4,1,0,0,45,39,1
80,4,227210,9,13,2,4,0,4,1,9386,0,40,39,1
58,4,441227,1,7,2,14,0,2,1,0,0,60,39,0
35,5,189404,15,10,2,12,0,4,1,0,1740,40,39,0
29,4,161478,9,13,4,1,1,1,0,0,0,40,24,0
31,4,209529,1,7,2,1,0,4,1,0,0,40,33,0
19,4,351040,15,10,4,1,3,4,0,0,0,40,33,0
66,4,186324,9,13,2,12,0,4,1,0,0,5,39,1
22,4,196280,7,12,4,8,3,4,0,0,0,40,39,0
51,4,94432,11,9,2,10,0,4,1,0,0,40,39,0
53,4,53197,12,14,2,10,0,4,1,3103,0,40,39,1
18,2,283342,0,6,4,3,3,2,1,0,0,40,39,0
32,4,121769,15,10,2,3,0,4,1,0,0,40,39,0
26,4,199600,11,9,4,12,1,2,1,0,0,40,39,0
34,0,181934,11,9,0,0,1,4,0,0,0,40,39,0
50,4,104501,12,14,2,10,0,4,1,0,0,40,39,1
31,4,203488,15,10,2,12,0,4,1,0,0,44,39,1
27,4,153475,9,13,4,12,1,4,0,0,0,40,39,0
34,4,101345,11,9,2,8,5,4,0,0,0,40,39,1
45,4,411273,5,4,2,3,0,2,1,0,0,40,39,0
21,4,209483,15,10,4,12,3,4,0,0,0,20,39,0
46,6,256014,8,11,2,4,0,4,1,0,0,60,39,0
34,4,118710,8,11,2,8,0,4,1,0,0,40,39,1
31,4,298995,11,9,2,8,5,2,0,0,0,35,39,0
53,4,240914,15,10,2,3,0,4,1,0,0,40,39,0
40,4,242521,8,11,2,3,0,4,1,0,0,40,39,1
18,4,71792,11,9,4,12,3,1,0,0,0,40,39,0
23,4,239322,11,9,0,12,1,4,1,0,0,40,39,0
59,4,219426,6,5,2,3,0,4,1,0,0,50,39,0
54,4,115602,11,9,2,8,5,2,0,0,0,40,39,0
36,4,416745,1,7,2,7,0,4,1,0,0,40,39,0
24,4,376474,11,9,2,7,0,4,1,0,0,40,39,0
49,4,116143,11,9,2,7,0,4,1,0,0,40,39,0
56,6,156873,11,9,2,3,0,4,1,0,0,40,39,0
47,4,215686,11,9,2,3,0,2,1,0,0,50,39,0
41,2,129060,15,10,0,1,4,2,0,0,0,40,39,0
23,4,549349,15,10,4,13,3,4,1,0,0,40,39,0
49,4,199378,15,10,2,10,0,4,1,0,0,22,39,0
20,4,180497,11,9,4,8,1,2,0,0,0,40,39,0
27,4,394927,9,13,2,12,0,4,1,0,0,55,39,0
34,4,116910,11,9,2,3,0,4,1,0,0,50,39,0
57,4,187138,11,9,0,1,1,4,0,0,0,40,39,0
32,4,127610,9,13,2,10,5,4,0,0,1902,32,39,1
20,4,131611,15,10,4,1,3,4,1,0,0,48,39,0
45,4,187033,11,9,2,3,0,4,1,0,2051,40,39,0
30,4,180765,1,7,0,8,4,4,0,0,0,32,39,0
57,4,121821,3,2,2,8,0,3,1,0,0,40,6,0
24,6,34918,8,11,4,8,4,4,0,0,0,38,39,0
18,4,703067,1,7,4,12,3,4,1,0,0,20,39,0
24,4,228424,11,9,4,6,2,2,1,0,0,40,39,0
63,4,28334,12,14,0,4,1,4,0,0,0,40,39,1
65,4,138247,15,10,6,12,1,4,0,0,0,22,39,0
26,2,314798,15,10,4,11,1,4,1,0,0,60,39,1
63,4,339473,15,10,0,12,1,4,0,0,0,60,39,0
21,4,184543,8,11,4,1,1,4,0,0,0,40,39,0
30,7,126414,9,13,3,1,1,4,1,0,0,40,39,0
22,4,256504,9,13,4,1,3,4,0,0,0,40,39,0
18,0,36779,1,7,4,0,3,4,0,0,0,20,39,0
33,4,183778,11,9,2,4,0,4,1,0,0,40,39,1
21,4,170800,11,9,4,12,3,4,0,0,0,30,39,0
34,4,159008,8,11,2,10,5,4,0,0,0,36,39,1
24,4,169129,15,10,4,10,1,4,1,0,0,40,39,0
49,4,178749,12,14,3,1,4,4,0,0,0,40,39,0
66,0,106791,11,9,6,0,4,4,0,0,0,40,39,0
41,4,69333,11,9,2,3,0,4,1,0,0,45,39,1
31,2,253456,15,10,2,11,0,4,1,0,0,40,39,1
30,4,342709,11,9,3,3,2,4,1,0,0,40,39,0
55,4,393768,8,11,2,4,0,4,1,0,0,40,39,0
52,4,149908,14,15,0,10,4,4,0,25236,0,44,39,1
24,4,131220,11,9,4,1,3,2,0,0,0,40,39,0
56,5,258883,15,10,2,3,0,4,1,0,0,40,39,0
49,4,56551,6,5,0,3,4,4,0,5455,0,45,39,0
49,4,177426,11,9,0,8,1,4,0,0,0,20,39,0
57,6,291529,9,13,2,4,0,4,1,4386,0,13,39,1
55,4,150507,15,10,2,1,0,4,1,0,0,40,39,0
60,0,141580,12,14,2,0,0,4,1,0,0,40,39,0
35,4,413648,4,3,4,5,4,4,1,0,0,36,39,0
43,4,238287,0,6,4,7,1,2,1,0,0,40,39,0
36,4,171393,12,14,2,10,0,4,1,7298,0,55,39,1
57,5,61885,11,9,2,10,0,2,1,0,0,60,39,1
50,4,144361,11,9,2,7,0,4,1,0,0,50,39,1
26,7,205333,9,13,4,10,1,4,0,0,0,10,39,0
28,4,132870,1,7,2,3,0,4,1,0,0,45,39,0
39,4,28572,11,9,0,8,1,4,1,0,0,40,39,0
65,4,154171,14,15,2,10,0,4,1,20051,0,60,39,1
24,4,304602,11,9,4,6,3,4,1,0,0,40,39,0
58,5,258883,9,13,2,10,0,4,1,0,0,60,39,1
34,4,42900,9,13,2,4,0,4,1,0,0,50,39,1
49,1,181657,15,10,0,4,1,4,0,0,0,50,39,0
22,4,33551,15,10,4,8,1,4,1,0,0,40,39,0
39,4,110713,9,13,2,12,0,4,1,0,0,50,39,1
38,2,162613,12,14,4,10,1,4,0,0,2258,60,39,0
26,4,91683,15,10,2,14,0,4,1,0,0,40,39,0
51,4,251841,8,11,4,4,1,4,0,0,0,43,39,0
45,4,214068,10,16,2,10,0,4,1,0,0,50,39,1
27,4,177119,15,10,0,1,4,4,0,0,0,44,39,0
35,4,255191,9,13,2,10,0,4,1,0,0,45,39,1
25,4,190107,9,13,4,3,3,4,1,0,0,40,39,0
31,4,213307,5,4,4,7,2,4,0,0,0,20,26,0
31,2,47276,9,13,2,8,0,4,1,0,0,38,39,1
34,4,180714,15,10,2,14,0,2,1,0,2179,40,39,0
54,4,96062,11,9,2,7,0,4,1,0,0,40,32,0
23,4,223019,11,9,4,1,3,4,0,0,0,40,39,0
46,4,196858,12,14,2,10,0,4,1,0,0,35,39,1
18,4,244571,1,7,4,1,3,4,0,0,0,10,39,0
48,4,47686,1,7,2,8,5,4,0,0,0,40,39,0
58,2,259216,6,5,0,8,1,4,0,0,0,40,39,0
42,5,240628,14,15,2,10,5,4,0,0,0,50,39,1
18,4,260801,11,9,4,6,3,4,1,0,0,20,39,0
24,4,117167,15,10,4,8,1,4,0,0,0,53,39,0
45,6,315984,11,9,2,3,0,4,1,7688,0,50,39,1
37,4,162651,11,9,2,10,0,4,1,0,0,40,4,0
44,6,315406,1,7,2,5,0,4,1,0,0,88,39,0
40,5,190290,9,13,2,12,0,4,1,0,0,40,0,1
56,4,301835,4,3,5,7,1,4,1,0,0,40,39,0
22,0,211013,15,10,4,0,3,4,0,0,0,40,26,0
64,4,159715,15,10,2,3,0,4,1,0,0,20,39,0
41,4,211253,12,14,2,4,5,4,0,0,0,40,39,1
33,4,108438,15,10,2,4,0,4,1,0,0,60,39,1
49,1,216453,8,11,0,4,4,2,0,0,0,45,39,0
53,2,235567,11,9,0,1,1,4,0,0,0,40,39,0
38,4,478346,11,9,2,4,5,4,0,7688,0,40,39,1
40,4,219164,12,14,2,10,0,2,1,5178,0,40,39,1
54,4,169719,9,13,2,12,0,4,1,3103,0,40,39,1
33,4,93056,5,4,0,6,3,4,1,0,0,40,39,0
22,4,264874,15,10,4,13,2,4,0,0,0,40,39,0
18,4,336523,2,8,4,8,2,2,1,0,0,20,39,0
37,4,211494,15,10,0,4,1,4,1,0,1980,55,39,0
58,4,105239,11,9,2,6,2,4,1,0,0,40,39,0
57,4,176079,12,14,0,10,1,4,0,0,0,40,39,0
57,5,37394,9,13,2,10,0,4,1,0,0,50,39,1
28,4,90196,9,13,2,4,0,4,1,0,0,45,39,1
22,4,62507,9,13,4,10,3,4,0,0,0,40,39,0
24,4,172169,15,10,4,6,4,4,1,0,0,30,39,0
49,4,235683,15,10,2,12,5,4,0,0,0,40,39,1
31,4,209538,15,10,2,1,0,4,1,0,0,55,39,0
33,4,159123,15,10,2,1,0,4,1,0,0,40,39,1
46,6,176319,11,9,2,12,3,4,0,7298,0,40,39,1
39,2,100011,7,12,4,13,1,4,0,0,0,38,39,0
30,4,140612,11,9,2,3,0,4,1,0,2051,40,39,0
42,2,27085,15,10,2,1,0,4,1,0,0,40,39,0
48,2,144122,12,14,0,10,1,4,0,0,0,40,39,1
60,0,174073,11,9,2,0,0,4,1,0,0,40,39,0
26,4,402998,9,13,2,10,0,4,1,0,0,58,39,1
19,4,63363,15,10,4,12,3,4,0,0,0,30,39,0
52,4,379682,8,11,2,8,5,4,0,0,0,20,39,1
23,4,227471,11,9,4,6,3,4,1,0,0,24,39,0
28,4,92262,11,9,2,3,0,4,1,0,0,40,39,0
43,4,260696,9,13,0,4,1,4,0,0,0,40,39,0
27,4,122922,9,13,4,12,1,4,0,0,0,40,39,0
34,5,314375,15,10,2,12,0,4,1,0,0,60,39,1
26,4,150132,11,9,4,1,1,4,0,0,0,45,39,0
57,4,249977,8,11,2,10,0,4,1,0,0,40,39,0
22,4,260617,2,8,2,7,0,4,1,0,0,60,39,0
48,5,36020,9,13,2,4,0,4,1,0,0,50,39,1
58,4,244605,9,13,6,3,1,4,1,0,0,40,39,1
52,4,146711,9,13,2,10,0,4,1,0,0,50,39,1
39,4,261504,2,8,0,1,4,4,0,0,0,40,39,0
50,5,101094,12,14,2,12,0,4,1,0,0,55,39,0
36,4,288049,11,9,2,4,0,4,1,0,0,45,39,0
32,4,83253,15,10,2,14,0,4,1,0,0,60,39,0
24,4,201799,9,13,4,14,3,4,0,0,0,84,39,0
22,4,385540,0,6,4,8,1,4,1,0,0,40,26,0
62,5,234738,9,13,2,4,0,4,1,5013,0,50,39,0
31,4,182246,11,9,0,3,1,4,1,0,0,45,39,0
41,4,187795,15,10,2,3,0,4,1,0,1977,60,39,1
43,4,115562,9,13,2,4,0,4,1,99999,0,50,39,1
61,4,54780,9,13,2,7,0,4,1,0,0,40,39,1
62,5,191520,10,16,2,10,0,4,1,99999,0,80,39,1
39,6,497525,0,6,5,3,1,2,1,0,0,40,39,0
32,4,226975,15,10,4,12,3,4,1,0,1876,60,39,0
39,4,161295,7,12,0,1,4,4,0,0,0,40,39,1
57,7,254949,11,9,2,4,0,4,1,0,0,40,39,1
53,4,175220,9,13,2,12,0,1,1,7688,0,48,36,1
43,7,101383,11,9,2,3,0,4,1,0,0,40,39,1
65,0,192825,5,4,2,0,0,4,1,0,0,25,39,0
20,4,117767,15,10,4,14,3,4,1,0,0,40,39,0
31,4,81846,11,9,2,1,0,1,1,0,0,40,39,0
19,0,170653,11,9,4,0,3,4,1,0,0,40,22,0
42,4,233366,4,3,2,3,0,3,1,3103,0,40,26,1
72,4,165622,15,10,6,1,1,4,0,0,0,25,39,0
36,4,218729,15,10,2,1,3,4,0,0,0,30,39,1
46,4,148738,11,9,2,6,0,4,1,0,1740,35,39,0
32,1,128714,11,9,4,8,3,2,0,0,0,32,39,0
40,4,165599,11,9,2,12,0,4,1,4064,0,40,39,0
23,4,128487,9,13,4,10,1,4,0,0,0,20,39,0
38,4,216845,11,9,4,12,4,4,1,0,0,42,39,0
29,7,106334,12,14,4,4,1,4,1,0,0,40,0,0
36,4,224531,15,10,4,8,1,4,1,0,0,40,39,0
31,4,397467,11,9,2,3,0,4,1,0,0,40,39,0
59,5,107287,0,6,6,4,4,4,0,0,2559,50,39,1
58,2,239405,4,3,0,8,2,2,0,0,0,40,14,0
56,4,119859,15,10,0,14,1,4,1,0,0,40,39,1
60,6,176360,9,13,2,4,0,4,1,0,0,50,39,1
22,4,72310,11,9,4,14,1,4,1,0,0,70,39,0
49,4,121602,9,13,2,4,0,4,1,0,0,40,39,0
31,4,101697,8,11,2,10,5,4,0,0,0,40,39,0
46,5,219962,9,13,2,7,0,4,1,7298,0,40,0,1
20,4,199698,6,5,4,14,4,4,1,0,0,35,39,0
20,4,41356,15,10,4,10,1,4,0,0,0,40,39,0
55,4,497039,15,10,0,13,4,2,0,0,0,56,39,0
56,5,98418,14,15,2,10,0,4,1,99999,0,40,39,1
50,4,192964,11,9,0,12,4,4,0,0,0,65,39,0
38,4,60313,11,9,4,3,1,4,1,0,0,40,39,0
25,4,251915,9,13,4,12,3,4,0,0,0,40,39,0
61,5,84409,11,9,2,4,0,4,1,0,0,35,39,1
47,4,174794,12,14,4,10,1,4,0,0,0,40,9,1
17,4,124661,1,7,4,12,3,4,0,0,0,35,39,0
20,4,190227,12,14,4,4,3,4,1,0,0,25,39,0
23,4,202373,11,9,4,12,3,2,1,0,0,20,39,0
23,4,212407,9,13,4,6,3,4,1,0,0,25,39,0
43,6,147230,9,13,2,4,0,4,1,0,0,60,39,0
39,7,178100,9,13,4,10,1,4,0,0,0,40,39,0
21,4,151158,15,10,4,10,3,4,0,0,0,25,39,0
18,4,404085,11,9,2,1,5,4,0,0,0,40,39,0
44,1,281739,15,10,4,1,1,4,1,13550,0,50,39,1
57,7,250976,11,9,2,3,0,4,1,0,0,40,39,0
62,4,266624,11,9,2,5,0,4,1,6418,0,40,39,1
19,4,151801,0,6,4,6,3,4,1,0,0,39,39,0
20,4,198478,11,9,4,5,2,4,1,0,0,40,39,0
57,4,182028,9,13,2,4,5,4,0,0,0,40,39,0
28,6,209205,15,10,2,3,0,4,1,7298,0,40,39,1
39,5,124685,12,14,0,4,1,1,1,0,0,99,24,1
46,4,424934,0,6,6,8,1,4,0,0,0,40,32,0
20,4,249956,15,10,4,1,3,4,0,0,0,10,39,0
33,4,112358,15,10,4,8,1,4,1,0,0,32,39,0
32,4,114746,11,9,5,6,4,1,0,0,0,60,35,0
46,4,273575,9,13,2,14,0,4,1,15024,0,40,39,1
67,4,268781,9,13,2,1,0,4,1,0,1510,8,39,0
53,4,149784,9,13,2,10,0,4,1,7688,0,40,39,1
49,4,124604,11,9,0,1,1,4,1,0,0,32,39,0
25,4,404616,12,14,2,5,1,4,1,0,0,99,39,1
34,6,34572,8,11,2,4,0,4,1,0,0,60,39,1
33,7,200289,12,14,2,10,0,1,1,0,0,19,19,0
50,4,175029,11,9,2,6,0,4,1,0,0,40,39,1
35,4,209993,1,7,5,9,4,4,0,0,0,8,26,0
52,4,128272,11,9,2,12,0,4,1,0,0,14,39,0
60,4,240521,11,9,2,3,0,4,1,7298,0,40,39,1
30,4,198660,11,9,2,6,0,4,1,0,0,40,39,0
23,7,61743,4,3,4,14,1,4,1,0,0,35,39,0
30,4,169269,1,7,4,6,2,4,1,0,1721,38,33,0
31,4,242984,15,10,5,6,1,4,1,0,0,40,39,0
54,4,387540,12,14,2,10,0,4,1,0,0,45,39,1
33,4,196385,9,13,2,4,0,4,1,0,1977,40,39,1
21,4,25265,15,10,4,8,3,4,1,0,0,18,39,0
64,0,211360,11,9,6,0,1,4,0,0,0,30,39,0
18,4,156981,1,7,4,12,3,4,0,0,0,20,39,0
35,6,168475,15,10,2,3,0,4,1,0,0,60,39,1
41,6,254818,12,14,0,6,4,4,1,0,0,40,29,0
60,6,89884,11,9,2,12,0,4,1,0,0,50,39,0
67,2,176931,5,4,6,8,1,4,0,0,0,20,39,0
40,4,264663,9,13,4,10,3,4,0,0,0,60,39,0
32,4,182274,11,9,5,8,3,4,0,0,0,37,39,0
42,4,144002,11,9,0,14,1,4,1,0,0,50,39,0
35,4,140752,11,9,4,12,1,4,1,0,0,25,39,0
27,4,212506,15,10,0,1,4,2,0,0,0,40,39,0
36,5,166880,11,9,4,8,1,4,0,0,0,70,39,0
62,4,196891,9,13,2,4,0,4,1,0,0,40,39,1
23,4,126613,9,13,4,10,3,4,0,0,0,30,39,0
39,4,108140,11,9,2,12,0,4,1,0,0,40,39,0
66,4,142723,4,3,3,6,4,4,0,0,0,40,33,0
17,4,143791,0,6,4,8,3,2,0,0,0,12,39,0
32,4,172579,11,9,5,8,1,4,0,0,0,30,39,0
37,4,22494,15,10,3,4,4,4,0,0,0,41,39,0
55,4,139843,11,9,0,4,1,4,0,0,0,60,39,0
54,4,244770,11,9,4,1,2,4,0,0,0,40,39,0
49,4,139571,11,9,2,1,0,4,1,4064,0,40,39,0
37,4,77820,9,13,2,4,0,4,1,0,0,45,39,1
45,4,98765,11,9,4,7,4,4,0,0,0,40,2,0
30,0,361817,11,9,4,0,3,4,1,0,0,25,39,0
41,4,173307,11,9,2,3,0,4,1,0,0,40,39,1
45,6,106110,15,10,2,8,5,4,0,0,0,99,39,0
22,4,204226,11,9,4,4,3,4,0,0,0,40,39,0
38,2,140854,11,9,2,11,0,4,1,0,0,40,39,1
55,5,183869,14,15,2,4,0,4,1,0,0,50,0,1
32,4,111836,15,10,2,8,0,2,1,0,0,50,39,0
48,4,177211,1,7,2,7,0,4,1,0,0,40,39,0
50,8,123004,11,9,2,7,3,4,0,0,1887,40,39,1
45,7,255456,12,14,2,10,0,1,1,0,0,50,19,1
50,4,44368,15,10,2,4,0,4,1,0,0,40,39,0
46,2,109089,14,15,2,11,0,4,1,0,0,40,39,1
24,4,304386,11,9,4,8,3,4,0,0,0,30,39,0
34,4,179641,9,13,4,10,1,4,0,0,0,45,39,0
25,4,195994,9,13,4,1,1,4,0,0,0,35,39,0
58,4,348430,11,9,2,3,0,4,1,0,0,40,39,1
40,7,114714,10,16,2,4,0,1,1,0,0,40,36,1
49,2,40690,9,13,4,10,4,4,1,0,0,60,39,1
19,4,269991,11,9,4,8,3,4,1,0,0,40,33,0
41,4,116493,15,10,0,12,1,4,1,0,0,52,39,0
47,2,154430,12,14,2,10,5,4,0,0,0,40,39,1
53,2,20676,11,9,2,4,0,0,1,0,0,48,39,0
37,4,168475,11,9,2,4,0,4,1,0,0,40,39,1
31,4,63861,11,9,0,12,1,4,0,0,0,34,39,0
35,4,119992,7,12,2,3,0,4,1,0,0,45,39,0
26,1,269353,8,11,4,1,1,3,1,0,0,55,39,0
24,4,214956,1,7,4,4,1,4,1,0,0,45,39,0
32,4,154120,11,9,2,14,0,4,1,7298,0,40,39,1
53,4,139671,9,13,2,10,0,4,1,0,1902,40,39,1
20,4,117767,15,10,4,6,3,4,1,0,0,40,39,0
25,4,458549,3,2,2,5,0,4,1,0,0,96,26,0
19,4,358631,11,9,4,1,1,4,1,0,0,25,39,0
46,2,359193,15,10,0,1,4,4,0,0,0,45,39,0
27,0,123147,15,10,4,0,4,4,0,0,0,25,39,0
30,4,169104,7,12,4,8,2,1,1,0,0,40,40,0
33,2,100446,15,10,2,1,5,4,0,0,0,40,39,0
33,4,219619,12,14,2,10,0,4,1,15024,0,40,39,1
43,0,396116,11,9,2,0,0,4,1,0,0,40,39,0
55,4,104724,10,16,2,10,0,4,1,0,0,40,39,1
21,4,86557,15,10,4,12,2,3,0,0,0,30,39,0
39,4,129597,9,13,2,12,0,4,1,3464,0,40,39,0
30,4,622192,15,10,2,8,5,4,0,0,0,6,39,0
37,4,121521,14,15,2,10,0,4,1,15024,0,45,39,1
29,4,255476,5,4,4,6,3,4,1,0,0,30,26,0
59,4,43221,15,10,2,3,0,4,1,0,0,43,39,1
26,4,195636,9,13,4,10,1,4,0,0,0,55,39,0
38,4,266325,9,13,2,10,5,4,0,0,0,32,39,1
21,2,136208,15,10,4,11,3,4,1,0,0,48,39,0
56,4,217775,11,9,0,14,1,4,1,0,0,50,39,1
38,4,439592,15,10,4,8,3,2,0,0,0,40,39,0
49,4,353824,11,9,2,3,0,4,1,0,1887,40,39,1
54,4,105638,6,5,2,3,0,4,1,0,0,40,39,0
41,4,439919,4,3,2,5,0,4,1,3411,0,40,26,0
49,5,246891,9,13,2,1,0,4,1,0,0,40,39,1
22,7,309348,15,10,4,1,1,4,0,0,0,15,39,0
56,4,156052,11,9,6,8,4,2,0,594,0,20,39,0
20,4,66917,1,7,2,5,3,4,1,0,0,40,26,0
32,4,35595,9,13,4,1,1,4,1,0,0,40,39,0
26,4,102460,15,10,2,1,0,4,1,0,0,40,39,0
